"","Date of Final Decision","Submission Number","Device","Company","Panel (Lead)","Primary Product Code"
"709","06/22/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230497"", ""K230497"")","Bladder AI (AIBV01)","Exo Inc","Radiology","QIH"
"710","06/29/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230337"", ""K230337"")","EarliPoint","EarliTec Diagnostics, Inc.","Neurology","QPF"
"711","07/03/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222745"", ""K222745"")","Axial3D Insight","Axial Medical Printing Limited","Radiology","QIH"
"712","07/07/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231668"", ""K231668"")","Spine CAMP™ (1.1)","Medical Metrics, Inc","Radiology","QIH"
"713","07/10/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223724"", ""K223724"")","MOZI TPS","Manteia Technologies Co., Ltd","Radiology","MUJ"
"714","07/12/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230823"", ""K230823"")","AusculThing ACC","AusculThing Oy","Cardiovascular","DQD"
"715","07/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223424"", ""K223424"")","Spine Auto Views","GE Medical Systems SCS","Radiology","JAK"
"716","07/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223426"", ""K223426"")","ECHELON Synergy MRI system","FUJIFILM Healthcare Corporation","Radiology","LNH"
"717","07/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231833"", ""K231833"")","Biograph Vision.X and Biograph Vision.X Edge","Siemens Medical Solutions USA, Inc.","Radiology","KPS"
"718","07/14/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223106"", ""K223106"")","Brainlab Elements Image Fusion, Contouring (4.5);Image Fusion (4.5);Fibertracking (2.0);BOLD MRI Mapping (1.0);Image Fusion Angio (1.0)","Brainlab AG","Radiology","QIH"
"719","07/19/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231157"", ""K231157"")","syngo.CT Lung CAD (Version VD30)","Siemens Healthcare GmbH","Radiology","OEB"
"720","07/20/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230039"", ""K230039"")","uOmnispace","Shanghai United Imaging Healthcare Co., Ltd.","Radiology","QIH"
"721","07/21/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230150"", ""K230150"")","OptimMRI","RebrAIn, SAS","Radiology","QIH"
"722","07/21/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223288"", ""K223288"")","Cranial Navigation, Navigation Software Cranial, Navigation Software Craniofacial, Cranial EM System, Automatic Registration iMRI","Brainlab AG","Neurology","HAW"
"723","07/21/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231173"", ""K231173"")","Irregular Rhythm Notification Feature (IRNF)","Apple Inc.","Cardiovascular","QDB"
"724","07/24/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223347"", ""K223347"")","UltraSight AI Guidance","UltraSight Inc","Radiology","QJU"
"725","07/25/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223473"", ""K223473"")","ME-APDS™; MAGENTIQ-COLO™","Magentiq Eye LTD","Gastroenterology-Urology","QNP"
"726","07/25/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230365"", ""K230365"")","Sonio Detect","Sonio","Radiology","IYN"
"727","07/25/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230913"", ""K230913"")","ANDI","Imeka Solutions, Inc.","Radiology","QIH"
"728","07/26/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231038"", ""K231038"")","Global Hypoperfusion Index (GHI) Algorithm","Edwards Lifesciences, LLC","Cardiovascular","QNL"
"729","07/26/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231572"", ""K231572"")","uMI Panorama","Shanghai United Imaging Healthcare Co., Ltd.","Radiology","KPS"
"730","07/27/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231195"", ""K231195"")","Brainomix 360 Triage ICH","Brainomix Limited","Radiology","QAS"
"731","07/27/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230074"", ""K230074"")","Rapid Aneurysm Triage and Notification","iSchemaView, Inc.","Radiology","QFM"
"732","08/02/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223553"", ""K223553"")","Spine Planning (2.0), Elements Spine Planning, Elements Planning Spine","Brainlab AG","Orthopedic","OLO"
"733","08/03/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN230003"", ""DEN230003"")","Viz HCM","Viz.ai, Inc.","Cardiovascular","QXO"
"734","08/03/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223133"", ""K223133"")","VisiRad XR","Imidex Inc.","Radiology","MYN"
"735","08/15/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231094"", ""K231094"")","Annalise Enterprise CTB Triage-OH","Annalise-AI Pty Ltd.","Radiology","QAS"
"736","08/18/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223539"", ""K223539"")","Dreem 3S","Beacon Biosignals, Inc.","Neurology","OLZ"
"737","08/22/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230899"", ""K230899"")","qXR-PTX-PE","Qure.ai Technologies","Radiology","QFM"
"738","08/23/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230812"", ""K230812"")","Withings Scan Monitor 2.0","Withings","Cardiovascular","DPS"
"739","08/25/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223180"", ""K223180"")","AIRAscore","AIRAmed GmbH","Radiology","LLZ"
"740","08/28/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223639"", ""K223639"")","VisAble.IO","TechsoMed","Radiology","QTZ"
"741","08/30/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230355"", ""K230355"")","Vantage Galan 3T, MRT-3020, V9.0 with AiCE Reconstruction Processing Unit for MR","Canon Medical Systems Corporation","Radiology","LNH"
"742","09/01/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223622"", ""K223622"")","FaceHeart Vitals Software Development Kit (FH vitals SDK)","FaceHeart Corp.","Cardiovascular","QME"
"743","09/06/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232482"", ""K232482"")","MAGNETOM Viato.Mobile","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"744","09/07/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231207"", ""K231207"")","CARTO 3 EP Navigation System Software V8.0 (FG-5400-00, FG-5400-00U)","Biosense Webster, Inc.","Cardiovascular","DQK"
"745","09/08/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222921"", ""K222921"")","Minuteful-kidney test","Healthy.io Ltd.","Clinical Chemistry","JIR"
"746","09/08/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223621"", ""K223621"")","DeepXray","Alpha Intelligence Manifolds, Inc.","Radiology","QIH"
"747","09/08/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231335"", ""K231335"")","Cleerly ISCHEMIA","Cleerly, Inc","Cardiovascular","QXZ"
"748","09/08/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232686"", ""K232686"")","CorVista System","CorVista Health, Inc.","Cardiovascular","QXX"
"749","09/09/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223864"", ""K223864"")","Alignment System Cranial, Alignment Software Cranial, Cirq Alignment Software Cranial Biopsy, Cirq Alignment Software Cranial sEEG, Varioguide Alignment Software Cranial","Brainlab AG","Neurology","HAW"
"750","09/12/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231748"", ""K231748"")","Cartesion Prime (PCD-1000A/3) V10.15","Canon Medical Systems Corporation","Radiology","KPS"
"751","09/12/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232526"", ""K232526"")","XIDF-AWS801, Angio Workstation (Alphenix Workstation), V9.5","Canon Medical Systems Corporation","Radiology","JAA"
"752","09/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223811"", ""K223811"")","Lung-CAD","Imagen Technologies, Inc","Radiology","MYN"
"753","09/14/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220034"", ""K220034"")","NEUROShield","In-Med Prognostics L3C","Radiology","LLZ"
"754","09/19/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221309"", ""K221309"")","AI100 with Shonit","SigTuple Technologies Pvt. Ltd.","Hematology","JOY"
"755","09/19/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231281"", ""K231281"")","Aquilion Serve (TSX-307A/1) V1.3","Canon Medical Systems Corporation","Radiology","JAK"
"756","09/21/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231678"", ""K231678"")","Overjet Periapical Radiolucency Assist","Overjet, Inc","Radiology","MYN"
"757","09/22/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223659"", ""K223659"")","Jazz","AI Medical AG","Radiology","LLZ"
"758","09/22/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231149"", ""K231149"")","qXR-CTR","Qure.ai Technologies","Radiology","QIH"
"759","09/22/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231384"", ""K231384"")","Annalise Enterprise CTB Triage Trauma","Annalise-AI Pty Ltd.","Radiology","QAS"
"760","09/22/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231767"", ""K231767"")","Annalise Enterprise CTB Triage Trauma","Annalise-AI Pty Ltd.","Radiology","QAS"
"761","09/25/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231928"", ""K231928"")","EFAI RTSUITE CT HCAP-Segmentation System","Ever Fortune.AI Co., Ltd.","Radiology","QKB"
"762","09/26/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230252"", ""K230252"")","OFIX MIS App","Orthofix US LLC","Radiology","LLZ"
"763","09/27/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232616"", ""K232616"")","Volta AF-Xplorer","Volta Medical","Cardiovascular","DQK"
"764","09/28/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231837"", ""K231837"")","Brainomix 360 Triage LVO","Brainomix Limited","Radiology","QAS"
"765","09/28/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232699"", ""K232699"")","Low Ejection Fraction AI-ECG Algorithm","Anumana, Inc.","Cardiovascular","QYE"
"766","09/29/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230045"", ""K230045"")","HipCheck","Stryker Corp.","Radiology","QIH"
"767","10/03/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230085"", ""K230085"")","Lung-CAD","Imagen Technologies, Inc","Radiology","MYN"
"768","10/03/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231772"", ""K231772"")","V8/H8 Diagnostic Ultrasound System, V7/H7 Diagnostic Ultrasound System, V6/H6 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.","Radiology","IYN"
"769","10/03/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232712"", ""K232712"")","uMI Panorama","Shanghai United Imaging Healthcare Co., Ltd.","Radiology","KPS"
"770","10/04/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231025"", ""K231025"")","EFAI NeuroSuite CT ICH Assessment System","Ever Fortune.AI Co., Ltd.","Radiology","QAS"
"771","10/04/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231398"", ""K231398"")","VUNO Med-DeepBrain","VUNO Inc.","Radiology","QIH"
"772","10/04/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232023"", ""K232023"")","Momentum Spine","Momentum Health Inc.","Physical Medicine","LDK"
"773","10/05/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231001"", ""K231001"")","DeepTek CXR Analyzer v1.0","DeepTek Medical Imaging Pvt Ltd","Radiology","MYN"
"774","10/05/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232367"", ""K232367"")","cmAngio V1.0","CureMetrix, Inc.","Radiology","QIH"
"775","10/05/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232704"", ""K232704"")","Clarius Ultrasound Scanner","Clarius Mobile Health Corp.","Radiology","IYN"
"776","10/06/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223905"", ""K223905"")","Vivio LVEDP System","Avicena, LLC","Cardiovascular","QUO"
"777","10/06/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230144"", ""K230144"")","Denti.AI Detect","Denti.AI Technology, Inc.","Radiology","MYN"
"778","10/06/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232760"", ""K232760"")","Swoop Portable MR Imaging System","Hyperfine, Inc.","Radiology","LNH"
"779","10/06/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232787"", ""K232787"")","ScanNav Anatomy Peripheral Nerve Block","Intelligent Ultrasound Limited","Anesthesiology","QRG"
"780","10/11/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230220"", ""K230220"")","NeuViz 128 Multi-Slice CT Scanner System","Neusoft Medical Systems Co., Ltd.","Radiology","JAK"
"781","10/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230370"", ""K230370"")","SpotLight/SpotLight Duo (with DLIR option)","Arineta Ltd.","Radiology","JAK"
"782","10/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231642"", ""K231642"")","Veuron-Brain-pAb3","Heuron Co., Ltd.","Radiology","LLZ"
"783","10/20/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230209"", ""K230209"")","Sonix Health","Ontact Health Co., Ltd.","Radiology","QIH"
"784","10/23/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231560"", ""K231560"")","MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Aera; MAGNETOM Skyra; MAGNETOM Prisma; MAGNETOM Prisma fit","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"785","10/23/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231764"", ""K231764"")","Ultrasound System 1300","BK Medical Aps","Radiology","IYN"
"786","10/23/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232305"", ""K232305"")","AI-Rad Companion Brain MR","Siemens Medical Solutions USA, Inc.","Radiology","QIH"
"787","10/25/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230842"", ""K230842"")","SignalHF (IM008)","Implicity Inc.","Cardiovascular","QNL"
"788","10/25/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232436"", ""K232436"")","Rapid SDH","iSchemaView, Inc.","Radiology","QAS"
"789","10/26/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232500"", ""K232500"")","Lumify Diagnostic Ultrasound System","Philips Ultrasound","Radiology","IYN"
"790","10/27/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230854"", ""K230854"")","SwiftMR","AIRS Medical Inc.","Radiology","LLZ"
"791","10/27/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232045"", ""K232045"")","MeVis Liver Suite","MeVis Medical Solutions AG","Radiology","JAK"
"792","10/30/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231965"", ""K231965"")","Voluson Expert 22, Voluson Expert 20, Voluson Expert 18","GE Medical Systems Ultrasound and Primary Care Diagnostics,","Radiology","IYN"
"793","10/30/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232145"", ""K232145"")","ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Radiology","IYN"
"794","10/30/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232751"", ""K232751"")","BriefCase-Triage","Aidoc Medical, Ltd.","Radiology","QAS"
"795","11/03/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231955"", ""K231955"")","aprevo Digital Segmentation","Carlsmed, Inc.","Radiology","QIH"
"796","11/06/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231470"", ""K231470"")","Lunit INSIGHT DBT","Lunit Inc.","Radiology","QDQ"
"797","11/07/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231966"", ""K231966"")","LOGIQ E10","GE Medical Systems Ultrasound and Primary Care Diagnostics,","Radiology","IYN"
"798","11/07/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231989"", ""K231989"")","LOGIQ E10s, LOGIQ Fortis","GE Medical Systems Ultrasound and Primary Care Diagnostics,","Radiology","IYN"
"799","11/08/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230534"", ""K230534"")","BriefCase-Quantification","Aidoc Medical, Ltd.","Radiology","QIH"
"800","11/08/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231765"", ""K231765"")","Contour ProtegeAI","MIM Software Inc.","Radiology","QKB"
"801","11/09/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223754"", ""K223754"")","BraveCX","Bering Ltd","Radiology","QFM"
"802","11/09/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231617"", ""K231617"")","MAGNETOM Free.Max; MAGNETOM Free.Star","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"803","11/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232083"", ""K232083"")","BriefCase-Quantification","Aidoc Medical, Ltd.","Radiology","QIH"
"804","11/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232257"", ""K232257"")","Clarius Bladder AI","Clarius Mobile Health Corp.","Radiology","QIH"
"805","11/14/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232494"", ""K232494"")","MAGNETOM Avanto fit; MAGNETOM Skyra fit","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"806","11/15/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232841"", ""K232841"")","Axial3D Insight","Axial Medical Printing Limited","Radiology","QIH"
"807","11/17/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232501"", ""K232501"")","AI Platform (AIP001)","Exo Inc","Radiology","QIH"
"808","11/21/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232496"", ""K232496"")","Brainomix 360 Triage Stroke","Brainomix Limited","Radiology","QAS"
"809","11/27/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233243"", ""K233243"")","ClearPoint System (Software Version 2.2)","ClearPoint Neuro Inc.","Neurology","HAW"
"810","11/28/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231631"", ""K231631"")","BriefCase-Quantification","Aidoc Medical, Ltd.","Radiology","JAK"
"811","11/28/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232000"", ""K232000"")","syngo.via MI Workflows; Scenium; syngo MBF","Siemens Medical Solutions USA, Inc.","Radiology","QIH"
"812","11/29/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230179"", ""K230179"")","6440 MyLabX90","Esaote S.p.A.","Radiology","IYN"
"813","11/30/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233545"", ""K233545"")","EPIQ Series Diagnostic Ultrasound System","Philips Ultrasound LLC","Radiology","IYN"
"814","12/01/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232856"", ""K232856"")","Syngo Carbon Clinicals","Siemens Healthcare GmbH","Radiology","QIH"
"815","12/05/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232440"", ""K232440"")","Adravision Perio","Adra Corporation","Radiology","QIH"
"816","12/05/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233568"", ""K233568"")","Ceevra Reveal 3+","Ceevra, Inc.","Radiology","QIH"
"817","12/06/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233334"", ""K233334"")","Aquilion Serve SP (TSX-307B/1) V1.3","Canon Medical Systems Corporation","Radiology","JAK"
"818","12/06/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233562"", ""K233562"")","LINQ II Insertable Cardiac Monitor","Medtronic, Inc.","Cardiovascular","MXD"
"819","12/07/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232381"", ""K232381"")","LOGIQ Totus","GE Medical Systems Ultrasound and Primary Care Diagnostics,","Radiology","IYN"
"820","12/07/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232661"", ""K232661"")","Myocardial Strain Software Application","Circle Cardiovascular Imaging","Radiology","LLZ"
"821","12/08/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223757"", ""K223757"")","Bonelogic","Disior Ltd","Radiology","LLZ"
"822","12/08/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231898"", ""K231898"")","DTX Studio Clinic (4.0)","Nobel Biocare AB","Radiology","LLZ"
"823","12/11/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232096"", ""K232096"")","Transpara Density 1.0.0","Screenpoint Medical B.V.","Radiology","QIH"
